text,sentiment
The printer did its job as expected.,neutral
This laptop is fantastic and exceeded my expectations.,positive
Extremely dissatisfied with this headphone.,negative
The mouse worked perfectly and made my day!,positive
It's an average headphone. Just fine.,neutral
The headphone did its job as expected.,neutral
I absolutely love this phone!,positive
I'm really happy with this mouse.,positive
Awful watch. Would not recommend.,negative
"This phone is okay, nothing special.",neutral
The microwave worked perfectly and made my day!,positive
This headphone is fantastic and exceeded my expectations.,positive
This printer is fantastic and exceeded my expectations.,positive
"No complaints about the laptop, it's decent.",neutral
The printer broke after one use. Not worth it.,negative
The watch worked perfectly and made my day!,positive
I absolutely love this mouse!,positive
Awful tablet. Would not recommend.,negative
The headphone did its job as expected.,neutral
Awful laptop. Would not recommend.,negative
This headphone is fantastic and exceeded my expectations.,positive
The mouse is neither good nor bad.,neutral
The mouse worked perfectly and made my day!,positive
This watch is terrible and a waste of money.,negative
Awful mouse. Would not recommend.,negative
This keyboard is fantastic and exceeded my expectations.,positive
What an amazing watch. Highly recommend!,positive
The keyboard broke after one use. Not worth it.,negative
The keyboard did its job as expected.,neutral
I absolutely love this watch!,positive
This camera is terrible and a waste of money.,negative
Extremely dissatisfied with this printer.,negative
I absolutely love this headphone!,positive
This phone is fantastic and exceeded my expectations.,positive
"No complaints about the camera, it's decent.",neutral
Awful phone. Would not recommend.,negative
This printer is terrible and a waste of money.,negative
I hate this mouse. Very disappointing.,negative
This microwave is terrible and a waste of money.,negative
It's an average tablet. Just fine.,neutral
"No complaints about the microwave, it's decent.",neutral
The tablet did its job as expected.,neutral
This watch is fantastic and exceeded my expectations.,positive
What an amazing microwave. Highly recommend!,positive
I'm really happy with this microwave.,positive
"This printer is okay, nothing special.",neutral
The camera worked perfectly and made my day!,positive
The laptop did its job as expected.,neutral
Extremely dissatisfied with this camera.,negative
This printer is fantastic and exceeded my expectations.,positive
I'm really happy with this mouse.,positive
"No complaints about the tablet, it's decent.",neutral
The microwave broke after one use. Not worth it.,negative
I absolutely love this microwave!,positive
The headphone worked perfectly and made my day!,positive
"No complaints about the watch, it's decent.",neutral
"This keyboard is okay, nothing special.",neutral
The watch is neither good nor bad.,neutral
This camera is terrible and a waste of money.,negative
"No complaints about the headphone, it's decent.",neutral
It's an average camera. Just fine.,neutral
